sunday,monday,tuesday,wednesday,thursday,friday,saturday,business_id
1,3,1,0,12,6,0,mVHrayjG3uZ_RLHkLj-AMg
5,6,9,10,18,6,1,KayYbHCt-RkbGcPdGOThNg
1,2,2,0,1,3,6,wJr6kSA5dchdgOdwH6dZ2w
1,1,1,1,5,2,0,fNGIbpazjTRdXgwRY_NIXA
9,18,11,18,10,23,19,b9WZJp5L1RZr4F1nxclOoQ
1,1,1,0,5,4,3,zaXDakTd3RXyOa7sMrUE1g
0,0,0,1,4,2,0,WETE_LykpcnrC1sFcQ5EGg
2,0,0,0,2,1,0,SQ0j7bgSTazkVQlF5AnqyQ
6,4,2,1,10,9,6,wqu7ILomIOPSduRwoWp4AQ
7,16,13,11,21,10,8,P1fJb2WQ1mXoiudj8UE44w
0,1,0,1,2,1,0,8QlnAcjGE6dgfKTVoxrPvQ
0,0,0,0,1,2,0,t_gan0EXAw8csKIeFyazJw
10,14,13,7,12,22,25,6ilJq_05xRgek_8qUp36-g
1,1,1,4,14,28,3,MKyk4F4HSzHF8v-4cYe3Ww
3,9,7,4,9,16,9,1qCuOcks5HRv67OHovAVpg
13,13,28,10,33,105,36,sbW8qHJgzEIH42B0S-3New
1,0,2,1,3,0,2,W7ysp8GLCBrs0GXIVwAcBQ
47,57,53,76,68,96,63,McikHxxEqZ2X0joaRNKlaw
1,0,6,12,52,44,25,tv8cS4aaA1VDaInYgggb6g
20,40,23,22,37,46,28,EoAY1JSVeJriBzId8lUQwQ
0,1,0,0,0,1,1,TfvWSIAMFZ9zI3y2-K6wOA
9,16,9,15,22,34,16,tU-YtoW339PXJmUGSix_AQ
14,10,12,15,26,28,23,6p9TlP2I8S4agxYMNFSDjg
37,21,35,22,44,52,51,JDDeaNfb0JXD1NbznSIC9g
11,19,18,12,8,22,22,FiXamVMgMf9U0VqFHDZSEA
19,22,16,13,22,35,31,eznh0XjVtv924K-KYx_ilQ
15,17,18,21,28,36,29,usSROUMiAgPcxV3Ym0OxMQ
0,0,0,0,1,1,2,CL3tZqbYT7B5zgewKCS6-Q
2,1,0,1,0,0,0,u22QDAON1kk0wjoTliyftw
0,1,0,0,0,2,0,53Yk2EODWnV9qHQECzeHVQ
2,1,2,1,2,0,0,GJAv1nAfnHuab8oRyr8mXg
1,4,1,1,1,8,3,r8BwdblCW-ZUES37BL0khw
0,1,1,3,1,2,4,mIiHJkpK8nZvW_45LlhrbA
4,1,3,2,9,5,3,OZfpG8tDCcIEq8pzgZdyKw
2,1,2,1,1,2,0,8Nm_jcCYtMXYW0ODSHDiXA
