business_id,stars,date,year,month,day,dayOfWeek
5UmKMjUEUNdYWqANhGckJw,4,2012-08-01,2012,8,1,3
5UmKMjUEUNdYWqANhGckJw,5,2014-02-13,2014,2,13,4
5UmKMjUEUNdYWqANhGckJw,5,2015-10-31,2015,10,31,6
UsFtqoBl7naz8AVUBZMjQQ,5,2013-11-08,2013,11,8,5
UsFtqoBl7naz8AVUBZMjQQ,3,2014-03-29,2014,3,29,6
UsFtqoBl7naz8AVUBZMjQQ,1,2014-10-29,2014,10,29,3
UsFtqoBl7naz8AVUBZMjQQ,4,2014-11-28,2014,11,28,5
mVHrayjG3uZ_RLHkLj-AMg,5,2012-12-01,2012,12,1,6
mVHrayjG3uZ_RLHkLj-AMg,5,2013-03-15,2013,3,15,5
mVHrayjG3uZ_RLHkLj-AMg,5,2013-03-30,2013,3,30,6
mVHrayjG3uZ_RLHkLj-AMg,4,2013-10-20,2013,10,20,0
mVHrayjG3uZ_RLHkLj-AMg,5,2013-11-07,2013,11,7,4
mVHrayjG3uZ_RLHkLj-AMg,5,2014-03-22,2014,3,22,6
mVHrayjG3uZ_RLHkLj-AMg,5,2014-05-01,2014,5,1,4
mVHrayjG3uZ_RLHkLj-AMg,4,2014-09-29,2014,9,29,1
mVHrayjG3uZ_RLHkLj-AMg,5,2014-11-03,2014,11,3,1
mVHrayjG3uZ_RLHkLj-AMg,4,2014-12-18,2014,12,18,4
mVHrayjG3uZ_RLHkLj-AMg,5,2015-03-06,2015,3,6,5
mVHrayjG3uZ_RLHkLj-AMg,4,2015-03-08,2015,3,8,0
mVHrayjG3uZ_RLHkLj-AMg,4,2015-03-16,2015,3,16,1
mVHrayjG3uZ_RLHkLj-AMg,5,2015-07-02,2015,7,2,4
mVHrayjG3uZ_RLHkLj-AMg,5,2015-11-06,2015,11,6,5
mVHrayjG3uZ_RLHkLj-AMg,5,2015-12-04,2015,12,4,5
mVHrayjG3uZ_RLHkLj-AMg,5,2015-12-15,2015,12,15,2
mVHrayjG3uZ_RLHkLj-AMg,5,2015-12-16,2015,12,16,3
KayYbHCt-RkbGcPdGOThNg,4,2010-10-11,2010,10,11,1
KayYbHCt-RkbGcPdGOThNg,4,2011-02-27,2011,2,27,0
KayYbHCt-RkbGcPdGOThNg,4,2011-08-15,2011,8,15,1
KayYbHCt-RkbGcPdGOThNg,3,2011-12-22,2011,12,22,4
KayYbHCt-RkbGcPdGOThNg,4,2013-04-25,2013,4,25,4
KayYbHCt-RkbGcPdGOThNg,5,2013-04-29,2013,4,29,1
KayYbHCt-RkbGcPdGOThNg,3,2013-09-17,2013,9,17,2
KayYbHCt-RkbGcPdGOThNg,5,2014-02-16,2014,2,16,0
KayYbHCt-RkbGcPdGOThNg,2,2014-03-13,2014,3,13,4
KayYbHCt-RkbGcPdGOThNg,5,2014-06-27,2014,6,27,5
