name,business_id,stars,attributes,open,categories
Mr Hoagie,5UmKMjUEUNdYWqANhGckJw,4.5,"{u'Take-out': True, u'Drive-Thru': False, u'Outdoor Seating': False, u'Caters': False, u'Noise Level': u'average', u'Parking': {u'garage': False, u'street': False, u'validated': False, u'lot': False, u'valet': False}, u'Delivery': False, u'Attire': u'casual', u'Has TV': False, u'Price Range': 1, u'Good For': {u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': False, u'brunch': False}, u'Takes Reservations': False, u'Ambience': {u'romantic': False, u'intimate': False, u'classy': False, u'hipster': False, u'divey': False, u'touristy': False, u'trendy': False, u'upscale': False, u'casual': False}, u'Waiter Service': False, u'Accepts Credit Cards': True, u'Good for Kids': True, u'Good For Groups': True, u'Alcohol': u'none'}",True,restaurant
Clancy's Pub,UsFtqoBl7naz8AVUBZMjQQ,3.5,"{u'Happy Hour': True, u'Accepts Credit Cards': True, u'Good For Groups': True, u'Outdoor Seating': False, u'Price Range': 1}",True,nightlife
Emil's Lounge,mVHrayjG3uZ_RLHkLj-AMg,5.0,"{u'Alcohol': u'full_bar', u'Noise Level': u'average', u'Music': {u'dj': False}, u'Attire': u'casual', u'Ambience': {u'romantic': False, u'intimate': False, u'classy': False, u'hipster': False, u'divey': False, u'touristy': False, u'trendy': False, u'upscale': False, u'casual': False}, u'Good for Kids': True, u'Price Range': 1, u'Good For Dancing': False, u'Delivery': False, u'Coat Check': False, u'Smoking': u'no', u'Accepts Credit Cards': True, u'Take-out': True, u'Happy Hour': False, u'Outdoor Seating': False, u'Takes Reservations': False, u'Waiter Service': True, u'Wi-Fi': u'no', u'Caters': True, u'Good For': {u'dessert': False, u'latenight': False, u'lunch': True, u'dinner': False, u'brunch': False, u'breakfast': False}, u'Parking': {u'garage': False, u'street': False, u'validated': False, u'lot': False, u'valet': False}, u'Has TV': True, u'Good For Groups': True}",True,nightlife
Alexion's Bar & Grill,KayYbHCt-RkbGcPdGOThNg,4.0,"{u'Alcohol': u'full_bar', u'Noise Level': u'loud', u'Music': {u'dj': False}, u'Attire': u'casual', u'Ambience': {u'romantic': False, u'intimate': False, u'touristy': False, u'hipster': False, u'divey': False, u'classy': False, u'trendy': False, u'upscale': False, u'casual': True}, u'Good for Kids': False, u'Price Range': 1, u'Good For Dancing': True, u'Delivery': False, u'Coat Check': False, u'Smoking': u'outdoor', u'Accepts Credit Cards': True, u'Take-out': True, u'Happy Hour': True, u'Outdoor Seating': True, u'Takes Reservations': False, u'Waiter Service': True, u'Wi-Fi': u'free', u'Caters': False, u'Good For': {u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': True, u'breakfast': False, u'brunch': False}, u'Parking': {u'garage': False, u'street': False, u'validated': False, u'lot': True, u'valet': False}, u'Has TV': True, u'Good For Groups': True}",True,nightlife
Carnegie Free Library,1_lU0-eSWJCRvNGk78Zh9Q,4.5,{},True,nightlife
Kings Family Restaurant,wJr6kSA5dchdgOdwH6dZ2w,3.5,"{u'Take-out': True, u'Drive-Thru': False, u'Outdoor Seating': False, u'Price Range': 1, u'Takes Reservations': False, u'Good For Groups': True, u'Delivery': False, u'Good For': {u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': False, u'brunch': False}, u'Parking': {u'garage': False, u'street': False, u'validated': False, u'lot': False, u'valet': False}, u'Attire': u'casual', u'Waiter Service': True, u'Accepts Credit Cards': True, u'Good for Kids': True, u'Alcohol': u'none', u'Wheelchair Accessible': True}",True,restaurant
Rocky's Lounge,fNGIbpazjTRdXgwRY_NIXA,4.0,"{u'Alcohol': u'full_bar', u'Noise Level': u'average', u'Music': {u'dj': False}, u'Attire': u'casual', u'Ambience': {u'romantic': False, u'intimate': False, u'touristy': False, u'hipster': False, u'divey': False, u'classy': False, u'trendy': False, u'upscale': False, u'casual': False}, u'Good for Kids': True, u'Price Range': 1, u'Good For Dancing': False, u'Delivery': False, u'Dogs Allowed': False, u'Coat Check': False, u'Smoking': u'no', u'Accepts Credit Cards': True, u'Take-out': True, u'Wheelchair Accessible': True, u'Outdoor Seating': False, u'Takes Reservations': False, u'Waiter Service': True, u'Wi-Fi': u'free', u'Caters': False, u'Good For': {u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': False, u'brunch': False}, u'Parking': {u'garage': False, u'street': False, u'validated': False, u'lot': True, u'valet': False}, u'Has TV': True, u'Good For Groups': True}",True,nightlife
Gab & Eat,b9WZJp5L1RZr4F1nxclOoQ,4.5,"{u'Alcohol': u'none', u'Noise Level': u'average', u'Has TV': True, u'Attire': u'casual', u'Ambience': {u'romantic': False, u'intimate': False, u'classy': False, u'hipster': False, u'divey': True, u'touristy': False, u'trendy': False, u'upscale': False, u'casual': False}, u'Good for Kids': True, u'Price Range': 1, u'Delivery': False, u'Caters': False, u'BYOB': False, u'Corkage': False, u'Accepts Credit Cards': False, u'BYOB/Corkage': u'yes_free', u'Take-out': True, u'Wheelchair Accessible': False, u'Outdoor Seating': False, u'Takes Reservations': False, u'Waiter Service': True, u'Wi-Fi': u'no', u'Order at Counter': True, u'Good For': {u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': True, u'brunch': False}, u'Parking': {u'garage': False, u'street': False, u'validated': False, u'lot': True, u'valet': False}, u'Good For Groups': False}",True,restaurant
Barb's Country Junction Cafe,zaXDakTd3RXyOa7sMrUE1g,3.5,"{u'Take-out': True, u'Price Range': 1, u'Outdoor Seating': False, u'Noise Level': u'average', u'Parking': {u'garage': False, u'street': False, u'validated': False, u'lot': False, u'valet': False}, u'Delivery': False, u'Attire': u'casual', u'Has TV': False, u'Good For': {u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'brunch': True, u'breakfast': False}, u'Takes Reservations': False, u'Ambience': {u'romantic': False, u'intimate': False, u'touristy': False, u'hipster': False, u'divey': False, u'classy': False, u'trendy': False, u'upscale': False, u'casual': False}, u'Waiter Service': True, u'Accepts Credit Cards': True, u'Good for Kids': True, u'Good For Groups': True, u'Alcohol': u'none'}",True,restaurant
Paddy's Pour House,WETE_LykpcnrC1sFcQ5EGg,3.0,"{u'Take-out': True, u'Price Range': 2, u'Outdoor Seating': True, u'Good For Dancing': False, u'Noise Level': u'average', u'Coat Check': False, u'Attire': u'casual', u'Delivery': False, u'Waiter Service': True, u'Parking': {u'garage': False, u'street': True, u'validated': False, u'lot': False, u'valet': False}, u'Has TV': True, u'Good For': {u'dessert': False, u'latenight': True, u'lunch': False, u'dinner': True, u'breakfast': False, u'brunch': False}, u'Takes Reservations': False, u'Ambience': {u'romantic': False, u'intimate': False, u'touristy': False, u'hipster': False, u'divey': False, u'classy': False, u'trendy': False, u'upscale': False, u'casual': False}, u'Music': {u'dj': False, u'background_music': False, u'karaoke': False, u'live': True, u'video': False, u'jukebox': False}, u'Accepts Credit Cards': True, u'Good for Kids': False, u'Good For Groups': True, u'Alcohol': u'full_bar'}",False,nightlife
